dataset,model,auroc_unmatched,auroc_comp_matched,delta,n_matched
ClinVar,GPN-MSA,0.9586900026432794,0.952653854248037,-0.006036148395242469,49924
ClinVar,Evo2-7B,0.9606492041857125,0.9559339840201201,-0.004715220165592449,28194
ClinVar,Evo2-40B,0.9635157037732338,0.956419299365588,-0.007096404407645807,28194
ClinVar,CADD,0.9857418557529554,0.9848940655622526,-0.0008477901907028018,28194
ClinVar,phyloP,0.9120836943882086,0.9079604915999357,-0.004123202788272828,28194
TraitGym-mendelian,GPN-MSA,0.9046626324163876,0.8946446182023106,-0.010018014214076998,674
TraitGym-mendelian,Evo2-7B,0.7099638590307685,0.6953587278106509,-0.01460513122011764,674
TraitGym-mendelian,Evo2-40B,0.849541332586394,0.8301282051282051,-0.019413127458188906,674
TraitGym-mendelian,NT-2.5B,0.5342950176814537,0.5094921104536488,-0.02480290722780487,674
TraitGym-mendelian,Caduceus,0.5097335527467526,0.5259448083967315,0.01621125564997894,674
TraitGym-mendelian,CADD,0.8933141152076063,0.8900746689208227,-0.0032394462867836316,674
TraitGym-mendelian,phyloP,0.8577391859139697,0.8560510002817695,-0.0016881856322001898,674
TraitGym-complex,GPN-MSA,0.5796659655962518,0.5881174976915975,0.00845153209534566,2280
TraitGym-complex,Evo2-7B,0.5058910006497725,0.5031263465681748,-0.0027646540815977616,2280
TraitGym-complex,Evo2-40B,0.516132271468144,0.5195144659895352,0.003382194521391213,2280
TraitGym-complex,NT-2.5B,0.5162442289935365,0.5191104955370883,0.002866266543551821,2280
TraitGym-complex,Caduceus,0.5178282206490885,0.523534164358264,0.005705943709175543,2280
TraitGym-complex,CADD,0.6152645685852056,0.6233302554632194,0.00806568687801379,2280
TraitGym-complex,phyloP,0.5829917324988886,0.5816489689135118,-0.0013427635853767717,2280
