element,n,rho_raw,rho_partial,drop
SORT1,5379,-0.1268261080140088,-0.16144759660793584,0.03462148859392705
TERT,3108,0.18527569658637405,0.16465214000234013,0.02062355658403392
ZRS,2910,-0.018288330044161992,-0.040411642252571864,0.022123312208409872
PKLR,2814,0.09657621798110384,0.09610667040160707,0.00046954757949677073
LDLR,1908,0.39722703371769136,0.40258226286802534,-0.005355229150333984
FOXE1,1800,-0.03260763096506855,-0.02302113731492538,-0.00958649365014317
BCL11A,1799,0.0334785499372994,0.029613762408865856,0.003864787528433545
RET,1797,0.13127338305245168,0.1292064841525891,0.002066898899862585
MYCrs6983267,1792,0.016613798151545147,0.02389080402717287,-0.007277005875627723
IRF6,1785,0.19346339146116653,0.20665157837787812,-0.013188186916711586
MSMB,1773,0.1052422915385482,0.08929251832335783,0.015949773215190366
TCF7L2,1770,-0.01712567890538748,-0.025090807769186044,0.007965128863798566
UC88,1761,-0.009660056974778638,-0.004637046451354514,-0.005023010523424124
ZFAND3,1736,0.19854937796167088,0.19894698768260108,-0.00039760972093019764
MYCrs11986220,1389,0.0410495490828644,0.041188374598140357,-0.000138825515275956
IRF4,1353,0.21563233124633635,0.21716543006318684,-0.0015330988168504867
GP1BA,1154,0.1489213594004687,0.12057655229706911,0.02834480710339958
F9,904,0.056230091947999966,0.06281034678211572,-0.006580254834115756
HNF4A,855,0.057271292444708057,0.06605435779540338,-0.00878306535069532
HBG1,822,0.2350137343495302,0.25365269577545174,-0.01863896142592153
HBB,561,0.33160627010143034,0.3359503362336733,-0.004344066132242974
