dataset,model,matched,comp_auroc,comp_auprc,comp_auroc_lo,comp_auroc_hi,model_auroc,model_auprc,model_n,recovery_ratio,delong_p,delong_p_bh
ClinVar,GPN-MSA,False,0.7199752664996123,0.36243536325049086,0.7155730460745808,0.7221323843982828,0.9583176498189174,0.8614493858944144,153506,0.4799624596314917,0.0,0.0
ClinVar,GPN-MSA(csv),False,0.7199752664996123,0.36243536325049086,0.7155730460745808,0.7221323843982828,0.9610598418788927,0.93701875937098,36811,0.47710784266783646,0.0,0.0
ClinVar,Evo2-7B,False,0.7199752664996123,0.36243536325049086,0.7155730460745808,0.7221323843982828,0.9604365963082553,0.881662925750075,73408,0.477753654386634,0.0,0.0
ClinVar,Evo2-40B,False,0.7199752664996123,0.36243536325049086,0.7155730460745808,0.7221323843982828,0.9631479654935846,0.8704971586837362,73408,0.4749567803135677,0.0,0.0
ClinVar,CADD,False,0.7199752664996123,0.36243536325049086,0.7155730460745808,0.7221323843982828,0.9859417459650175,0.9579499188111816,73408,0.4526782650928042,0.0,0.0
ClinVar,phyloP-100w,False,0.7199752664996123,0.36243536325049086,0.7155730460745808,0.7221323843982828,0.9116429138000006,0.7754297311074194,73408,0.5343837076386275,0.0,0.0
ClinVar,phyloP-447w,False,0.7199752664996123,0.36243536325049086,0.7155730460745808,0.7221323843982828,0.9118115094646665,0.7567130943424791,73408,0.534164930906299,0.0,0.0
ClinVar,SpliceAI,False,0.7199752664996123,0.36243536325049086,0.7155730460745808,0.7221323843982828,0.6666580965053406,0.5016004630906596,72276,1.3199194705344732,1.6554428250592072e-41,4.665338870621403e-41
TraitGym-mendelian,GPN-MSA,True,0.5862780726956908,0.15255535652770374,0.5557533947846601,0.6134858770200974,0.9044146518085646,0.69447497076328,3380,0.2133406203505498,4.3753988605469487e-69,1.6954670584619427e-68
TraitGym-mendelian,Evo2-7B,True,0.5862780726956908,0.15255535652770374,0.5557533947846601,0.6134858770200974,0.7103409502359099,0.38492234188653374,3380,0.4101820049729963,3.362320027408e-08,6.131289461744001e-08
TraitGym-mendelian,Evo2-40B,True,0.5862780726956908,0.15255535652770374,0.5557533947846601,0.6134858770200974,0.8508320392276995,0.5565372191993593,3380,0.24592415471978593,1.6572672765400004e-45,5.137528557274001e-45
TraitGym-mendelian,NT-2.5B,True,0.5862780726956908,0.15255535652770374,0.5557533947846601,0.6134858770200974,0.5344484579348032,0.119961445442209,3380,2.504555439287869,0.021253903893824498,0.028646566117763454
TraitGym-mendelian,Caduceus,True,0.5862780726956908,0.15255535652770374,0.5557533947846601,0.6134858770200974,0.5092203388284802,0.10770844480131617,3380,9.357364658790136,0.0006657082450732935,0.001031847779863605
TraitGym-mendelian,HyenaDNA,True,0.5862780726956908,0.15255535652770374,0.5557533947846601,0.6134858770200974,0.5125822712658394,0.1152052872349429,3380,6.8571143375309065,0.001776900996110745,0.002623044327592052
TraitGym-mendelian,SpeciesLM,True,0.5862780726956908,0.15255535652770374,0.5557533947846601,0.6134858770200974,0.6200403083287209,0.20148997600014434,3380,0.7187425115522451,0.11108560514407216,0.1434855733110932
TraitGym-mendelian,GPN,True,0.5862780726956908,0.15255535652770374,0.5557533947846601,0.6134858770200974,0.717844668790734,0.4216763931462393,3380,0.39605317483610863,7.303052072631681e-09,1.4149663390723882e-08
TraitGym-mendelian,CADD,True,0.5862780726956908,0.15255535652770374,0.5557533947846601,0.6134858770200974,0.8925850098264585,0.7121847808331816,3380,0.21976914690102364,4.605815171401759e-51,1.5864474479272724e-50
TraitGym-mendelian,phyloP-100v,True,0.5862780726956908,0.15255535652770374,0.5557533947846601,0.6134858770200974,0.8572282368910312,0.654831474351801,3380,0.24152086477421716,6.952817495196586e-35,1.6579795565468782e-34
TraitGym-mendelian,phastCons,True,0.5862780726956908,0.15255535652770374,0.5557533947846601,0.6134858770200974,0.8577514908682752,0.5274899628348737,3380,0.24116761187015856,2.6153416939308746e-40,6.756299375988093e-40
TraitGym-complex,GPN-MSA,True,0.520384940742874,0.11495518866658354,0.5034331987919497,0.5403210964672154,0.5803355323336867,0.21228626606172205,11400,0.2537475031372398,8.821164383662414e-06,1.4392426099659729e-05
TraitGym-complex,Evo2-7B,True,0.520384940742874,0.11495518866658354,0.5034331987919497,0.5403210964672154,0.5054320071192159,0.11751135446441363,11400,3.752745586573646,0.21156365549734046,0.2522489738622136
TraitGym-complex,Evo2-40B,True,0.520384940742874,0.11495518866658354,0.5034331987919497,0.5403210964672154,0.5161817434967709,0.1372203048283151,11400,1.2597493432609301,0.6639319931942795,0.6953918858578584
TraitGym-complex,NT-2.5B,True,0.520384940742874,0.11495518866658354,0.5034331987919497,0.5403210964672154,0.516083628535806,0.11399756230613904,11400,1.2674341923212302,0.672959889539863,0.6953918858578584
TraitGym-complex,Caduceus,True,0.520384940742874,0.11495518866658354,0.5034331987919497,0.5403210964672154,0.5180477580114629,0.11396948309961476,11400,1.12949989300204,0.7658563344089567,0.7658563344089567
TraitGym-complex,HyenaDNA,True,0.520384940742874,0.11495518866658354,0.5034331987919497,0.5403210964672154,0.5080923708747016,0.11148740633805701,11400,2.51903194484097,0.3045483324141477,0.3496666038829103
TraitGym-complex,SpeciesLM,True,0.520384940742874,0.11495518866658354,0.5034331987919497,0.5403210964672154,0.5044858317158711,0.10974739852118708,11400,4.544294577692446,0.18498197763277024,0.2293776522646351
TraitGym-complex,GPN,True,0.520384940742874,0.11495518866658354,0.5034331987919497,0.5403210964672154,0.5097052103492324,0.11230218708957003,11400,2.100412047687992,0.33460513202859976,0.3704556818888069
TraitGym-complex,CADD,True,0.520384940742874,0.11495518866658354,0.5034331987919497,0.5403210964672154,0.6155839016156138,0.2498996585166739,11400,0.1763648783086266,4.0871407827770465e-13,8.446757617739229e-13
TraitGym-complex,phyloP-100v,True,0.520384940742874,0.11495518866658354,0.5034331987919497,0.5403210964672154,0.5832523210153918,0.18392563784626656,11400,0.24485732642943617,1.3108566492608038e-06,2.2575864515047176e-06
TraitGym-complex,phastCons,True,0.520384940742874,0.11495518866658354,0.5034331987919497,0.5403210964672154,0.6170292132573508,0.2370561239210066,11400,0.17418677076848232,2.0052482988872335e-13,4.4401926618217313e-13
GLRB-eQTL,GPN-MSA,True,0.5960432048014408,0.6326157168760499,0.5735730418167628,0.5962763782570007,0.5603554965678201,0.5989428121178444,8850,1.5912917673292468,0.0031374823481626116,0.004420997854229135
